company,fiscal_year,section,topic,mentions,word_count,mentions_per_10k_words,topic_rate_change
Costco,2024,MD&A,Labor,81,28001,28.92753830220349,-6.9268034344911875
Costco,2025,MD&A,Labor,58,27624,20.996235157833766,-7.931303144369725
Costco,2021,MD&A,Regulation,29,28239,10.269485463366268,
Costco,2022,MD&A,Regulation,28,27132,10.319917440660474,0.05043197729420612
Costco,2023,MD&A,Regulation,28,26775,10.457516339869281,0.13759889920880752
Costco,2024,MD&A,Regulation,36,28001,12.856683689868218,2.3991673499989368
Costco,2025,MD&A,Regulation,38,27624,13.756154068925571,0.8994703790573535
Costco,2021,MD&A,Supply Chain,43,28239,15.22716810085343,
Costco,2022,MD&A,Supply Chain,37,27132,13.63703376087277,-1.5901343399806596
Costco,2023,MD&A,Supply Chain,36,26775,13.445378151260504,-0.19165560961226547
Costco,2024,MD&A,Supply Chain,38,28001,13.570943894860898,0.12556574360039363
Costco,2025,MD&A,Supply Chain,42,27624,15.204170286707212,1.6332263918463141
Costco,2021,Risk Factors,Capital Investment,0,9389,0.0,
Costco,2022,Risk Factors,Capital Investment,1,9265,1.0793308148947653,1.0793308148947653
Costco,2023,Risk Factors,Capital Investment,1,9085,1.100715465052284,0.02138465015751856
Costco,2024,Risk Factors,Capital Investment,1,10035,0.996512207274539,-0.10420325777774486
Costco,2025,Risk Factors,Capital Investment,2,10360,1.9305019305019304,0.9339897232273914
Costco,2021,Risk Factors,Competition,23,9389,24.496751517733518,
Costco,2022,Risk Factors,Competition,23,9265,24.8246087425796,0.32785722484608115
Costco,2023,Risk Factors,Competition,24,9085,26.417171161254817,1.592562418675218
Costco,2024,Risk Factors,Competition,25,10035,24.91280518186348,-1.5043659793913378
Costco,2025,Risk Factors,Competition,25,10360,24.131274131274132,-0.7815310505893471
Costco,2021,Risk Factors,Consumer Demand,2,9389,2.130152305889871,
Costco,2022,Risk Factors,Consumer Demand,2,9265,2.1586616297895307,0.028509323899659655
Costco,2023,Risk Factors,Consumer Demand,1,9085,1.100715465052284,-1.0579461647372468
Costco,2024,Risk Factors,Consumer Demand,1,10035,0.996512207274539,-0.10420325777774486
Costco,2025,Risk Factors,Consumer Demand,1,10360,0.9652509652509652,-0.03126124202357383
Costco,2021,Risk Factors,Cybersecurity,7,9389,7.455533070614549,
Costco,2022,Risk Factors,Cybersecurity,7,9265,7.555315704263356,0.09978263364880746
Costco,2023,Risk Factors,Cybersecurity,6,9085,6.604292790313704,-0.951022913949652
Costco,2024,Risk Factors,Cybersecurity,31,10035,30.89187842551071,24.287585635197008
Costco,2025,Risk Factors,Cybersecurity,32,10360,30.888030888030887,-0.003847537479824581
Costco,2021,Risk Factors,Debt & Interest Rates,2,9389,2.130152305889871,
Costco,2022,Risk Factors,Debt & Interest Rates,2,9265,2.1586616297895307,0.028509323899659655
Costco,2023,Risk Factors,Debt & Interest Rates,3,9085,3.302146395156852,1.1434847653673215
Costco,2024,Risk Factors,Debt & Interest Rates,3,10035,2.9895366218236177,-0.3126097733332345
Costco,2025,Risk Factors,Debt & Interest Rates,3,10360,2.8957528957528957,-0.09378372607072194
Costco,2021,Risk Factors,Economic Uncertainty,8,9389,8.520609223559484,
Costco,2022,Risk Factors,Economic Uncertainty,8,9265,8.634646519158123,0.11403729559863862
Costco,2023,Risk Factors,Economic Uncertainty,8,9085,8.805723720418271,0.17107720126014847
Costco,2024,Risk Factors,Economic Uncertainty,9,10035,8.968609865470851,0.16288614505258003
Costco,2025,Risk Factors,Economic Uncertainty,9,10360,8.687258687258687,-0.28135117821216404
Costco,2021,Risk Factors,Inflation & Costs,4,9389,4.260304611779742,
Costco,2022,Risk Factors,Inflation & Costs,4,9265,4.317323259579061,0.05701864779931931
Costco,2023,Risk Factors,Inflation & Costs,2,9085,2.201430930104568,-2.1158923294744936
Costco,2024,Risk Factors,Inflation & Costs,2,10035,1.993024414549078,-0.20840651555548972
Costco,2025,Risk Factors,Inflation & Costs,2,10360,1.9305019305019304,-0.06252248404714766
Costco,2021,Risk Factors,Inventory,12,9389,12.780913835339225,
Costco,2022,Risk Factors,Inventory,11,9265,11.872638963842418,-0.9082748714968076
Costco,2023,Risk Factors,Inventory,11,9085,12.107870115575125,0.23523115173270703
Costco,2024,Risk Factors,Inventory,12,10035,11.95814648729447,-0.149723628280654
Costco,2025,Risk Factors,Inventory,12,10360,11.583011583011583,-0.37513490428288776
Costco,2021,Risk Factors,Labor,20,9389,21.301523058898713,
Costco,2022,Risk Factors,Labor,18,9265,19.427954668105773,-1.87356839079294
Costco,2023,Risk Factors,Labor,17,9085,18.712162905888828,-0.715791762216945
Costco,2024,Risk Factors,Labor,17,10035,16.940707523667164,-1.7714553822216637
Costco,2025,Risk Factors,Labor,19,10360,18.33976833976834,1.3990608161011764
Costco,2021,Risk Factors,Regulation,26,9389,27.691979976568323,
Costco,2022,Risk Factors,Regulation,25,9265,26.98327037236913,-0.7087096041991927
Costco,2023,Risk Factors,Regulation,24,9085,26.417171161254817,-0.566099211114313
Costco,2024,Risk Factors,Regulation,31,10035,30.89187842551071,4.474707264255894
Costco,2025,Risk Factors,Regulation,33,10360,31.853281853281853,0.9614034277711418
Costco,2021,Risk Factors,Supply Chain,30,9389,31.952284588348064,
Costco,2022,Risk Factors,Supply Chain,27,9265,29.14193200215866,-2.8103525861894028
Costco,2023,Risk Factors,Supply Chain,28,9085,30.82003302146395,1.6781010193052879
Costco,2024,Risk Factors,Supply Chain,29,10035,28.89885401096163,-1.9211790105023177
Costco,2025,Risk Factors,Supply Chain,32,10360,30.888030888030887,1.989176877069255
Home Depot,2022,MD&A,Capital Investment,9,37353,2.4094450244960246,
Home Depot,2023,MD&A,Capital Investment,9,37349,2.4097030710326917,0.0002580465366670559
Home Depot,2024,MD&A,Capital Investment,9,39057,2.3043244488824026,-0.10537862215028904
Home Depot,2025,MD&A,Capital Investment,8,42981,1.8612875456597102,-0.4430369032226924
Home Depot,2026,MD&A,Capital Investment,8,43761,1.8281117890358995,-0.03317575662381067
Home Depot,2022,MD&A,Competition,47,37353,12.582657350145906,
Home Depot,2023,MD&A,Competition,49,37349,13.119494497844656,0.5368371476987495
Home Depot,2024,MD&A,Competition,51,39057,13.057838543666948,-0.06165595417770753
Home Depot,2025,MD&A,Competition,53,42981,12.33102998999558,-0.7268085536713684
Home Depot,2026,MD&A,Competition,53,43761,12.111240602362834,-0.21978938763274591
Home Depot,2022,MD&A,Consumer Demand,6,37353,1.6062966829973497,
Home Depot,2023,MD&A,Consumer Demand,8,37349,2.1419582853623926,0.5356616023650429
Home Depot,2024,MD&A,Consumer Demand,7,39057,1.7922523491307576,-0.34970593623163504
Home Depot,2025,MD&A,Consumer Demand,5,42981,1.1633047160373187,-0.6289476330934389
Home Depot,2026,MD&A,Consumer Demand,5,43761,1.1425698681474372,-0.020734847889881447
Home Depot,2022,MD&A,Cybersecurity,10,37353,2.6771611383289162,
Home Depot,2023,MD&A,Cybersecurity,11,37349,2.9451926423732897,0.2680315040443735
Home Depot,2024,MD&A,Cybersecurity,58,39057,14.850090892797708,11.904898250424418
Home Depot,2025,MD&A,Cybersecurity,59,42981,13.726995649240362,-1.123095243557346
Home Depot,2026,MD&A,Cybersecurity,62,43761,14.167866365028221,0.4408707157878595
Home Depot,2022,MD&A,Debt & Interest Rates,79,37353,21.149572992798436,
Home Depot,2023,MD&A,Debt & Interest Rates,82,37349,21.955072424964523,0.8054994321660871
Home Depot,2024,MD&A,Debt & Interest Rates,77,39057,19.714775840438335,-2.240296584526188
Home Depot,2025,MD&A,Debt & Interest Rates,131,42981,30.478583560177753,10.763807719739418
Home Depot,2026,MD&A,Debt & Interest Rates,120,43761,27.42167683553849,-3.056906724639262
Home Depot,2022,MD&A,Economic Uncertainty,16,37353,4.283457821326266,
Home Depot,2023,MD&A,Economic Uncertainty,15,37349,4.016171785054486,-0.2672860362717797
Home Depot,2024,MD&A,Economic Uncertainty,21,39057,5.376757047392273,1.3605852623377865
Home Depot,2025,MD&A,Economic Uncertainty,23,42981,5.351201693771666,-0.025555353620606347
Home Depot,2026,MD&A,Economic Uncertainty,21,43761,4.7987934462192365,-0.5524082475524299
Home Depot,2022,MD&A,Inflation & Costs,12,37353,3.2125933659946995,
Home Depot,2023,MD&A,Inflation & Costs,15,37349,4.016171785054486,0.8035784190597868
Home Depot,2024,MD&A,Inflation & Costs,16,39057,4.09657679801316,0.08040501295867397
Home Depot,2025,MD&A,Inflation & Costs,15,42981,3.489914148111956,-0.606662649901204
Home Depot,2026,MD&A,Inflation & Costs,9,43761,2.056625762665387,-1.433288385446569
Home Depot,2022,MD&A,Inventory,142,37353,38.01568816427061,
Home Depot,2023,MD&A,Inventory,127,37349,34.00358778012798,-4.012100384142627
Home Depot,2024,MD&A,Inventory,124,39057,31.74847018460199,-2.255117595525988
Home Depot,2025,MD&A,Inventory,123,42981,28.61729601451804,-3.131174170083952
Home Depot,2026,MD&A,Inventory,120,43761,27.42167683553849,-1.1956191789795483
Home Depot,2022,MD&A,Labor,79,37353,21.149572992798436,
Home Depot,2023,MD&A,Labor,81,37349,21.687327639294224,0.5377546464957881
Home Depot,2024,MD&A,Labor,70,39057,17.922523491307576,-3.7648041479866485
Home Depot,2025,MD&A,Labor,68,42981,15.820944138107535,-2.101579353200041
Home Depot,2026,MD&A,Labor,63,43761,14.396380338657709,-1.4245637994498264
Home Depot,2022,MD&A,Regulation,46,37353,12.314941236313015,
Home Depot,2023,MD&A,Regulation,53,37349,14.19047364052585,1.8755324042128354
Home Depot,2024,MD&A,Regulation,63,39057,16.13027114217682,1.93979750165097
Home Depot,2025,MD&A,Regulation,68,42981,15.820944138107535,-0.30932700406928504
Home Depot,2026,MD&A,Regulation,72,43761,16.453006101323098,0.6320619632155626
Home Depot,2022,MD&A,Supply Chain,157,37353,42.031429871763976,
Home Depot,2023,MD&A,Supply Chain,162,37349,43.37465527858845,1.3432254068244731
Home Depot,2024,MD&A,Supply Chain,156,39057,39.94162378062831,-3.433031497960137
Home Depot,2025,MD&A,Supply Chain,164,42981,38.15639468602406,-1.7852290946042544
Home Depot,2026,MD&A,Supply Chain,165,43761,37.70480564886543,-0.45158903715862664
Home Depot,2022,Risk Factors,Capital Investment,2,17228,1.1609008590666356,
Home Depot,2023,Risk Factors,Capital Investment,2,17834,1.12145340361108,-0.039447455455555724
Home Depot,2024,Risk Factors,Capital Investment,2,19077,1.0483828694239137,-0.07307053418716625
Home Depot,2025,Risk Factors,Capital Investment,2,18668,1.0713520462824084,0.022969176858494755
Home Depot,2026,Risk Factors,Capital Investment,2,19526,1.0242753252074157,-0.04707672107499272
Home Depot,2022,Risk Factors,Competition,45,17228,26.120269328999303,
Home Depot,2023,Risk Factors,Competition,48,17834,26.91488168666592,0.7946123576666189
Home Depot,2024,Risk Factors,Competition,50,19077,26.209571735597837,-0.7053099510680845
Home Depot,2025,Risk Factors,Competition,52,18668,27.855153203342617,1.6455814677447798
Home Depot,2026,Risk Factors,Competition,52,19526,26.63115845539281,-1.2239947479498063
Home Depot,2022,Risk Factors,Consumer Demand,6,17228,3.482702577199907,
Home Depot,2023,Risk Factors,Consumer Demand,7,17834,3.9250869126387795,0.44238433543887234
Home Depot,2024,Risk Factors,Consumer Demand,7,19077,3.669340042983698,-0.25574686965508153
Home Depot,2025,Risk Factors,Consumer Demand,5,18668,2.6783801157060214,-0.9909599272776766
Home Depot,2026,Risk Factors,Consumer Demand,5,19526,2.5606883130185394,-0.11769180268748203
Home Depot,2022,Risk Factors,Cybersecurity,10,17228,5.804504295333178,
Home Depot,2023,Risk Factors,Cybersecurity,11,17834,6.16799371986094,0.3634894245277618
Home Depot,2024,Risk Factors,Cybersecurity,58,19077,30.403103213293495,24.235109493432553
Home Depot,2025,Risk Factors,Cybersecurity,59,18668,31.604885365331047,1.201782152037552
Home Depot,2026,Risk Factors,Cybersecurity,62,19526,31.75253508142989,0.1476497160988437
Home Depot,2022,Risk Factors,Debt & Interest Rates,2,17228,1.1609008590666356,
Home Depot,2023,Risk Factors,Debt & Interest Rates,3,17834,1.68218010541662,0.5212792463499845
Home Depot,2024,Risk Factors,Debt & Interest Rates,3,19077,1.5725743041358704,-0.1096058012807497
Home Depot,2025,Risk Factors,Debt & Interest Rates,5,18668,2.6783801157060214,1.105805811570151
Home Depot,2026,Risk Factors,Debt & Interest Rates,3,19526,1.5364129878111237,-1.1419671278948977
Home Depot,2022,Risk Factors,Economic Uncertainty,15,17228,8.706756442999767,
Home Depot,2023,Risk Factors,Economic Uncertainty,14,17834,7.850173825277559,-0.856582617722208
Home Depot,2024,Risk Factors,Economic Uncertainty,20,19077,10.483828694239136,2.6336548689615773
Home Depot,2025,Risk Factors,Economic Uncertainty,21,18668,11.249196485965287,0.7653677917261508
Home Depot,2026,Risk Factors,Economic Uncertainty,19,19526,9.73061558947045,-1.5185808964948375
Home Depot,2022,Risk Factors,Inflation & Costs,7,17228,4.063153006733224,
Home Depot,2023,Risk Factors,Inflation & Costs,11,17834,6.16799371986094,2.1048407131277154
Home Depot,2024,Risk Factors,Inflation & Costs,12,19077,6.290297216543482,0.12230349668254181
Home Depot,2025,Risk Factors,Inflation & Costs,12,18668,6.428112277694451,0.13781506115096942
Home Depot,2026,Risk Factors,Inflation & Costs,7,19526,3.584963638225955,-2.843148639468496
Home Depot,2022,Risk Factors,Inventory,23,17228,13.350359879266312,
Home Depot,2023,Risk Factors,Inventory,22,17834,12.33598743972188,-1.0143724395444327
Home Depot,2024,Risk Factors,Inventory,22,19077,11.532211563663049,-0.8037758760588307
Home Depot,2025,Risk Factors,Inventory,23,18668,12.320548532247697,0.7883369685846482
Home Depot,2026,Risk Factors,Inventory,23,19526,11.779166239885281,-0.5413822923624156
Home Depot,2022,Risk Factors,Labor,51,17228,29.602971906199212,
Home Depot,2023,Risk Factors,Labor,52,17834,29.15778849388808,-0.4451834123111311
Home Depot,2024,Risk Factors,Labor,40,19077,20.967657388478273,-8.190131105409808
Home Depot,2025,Risk Factors,Labor,37,18668,19.820012856224555,-1.147644532253718
Home Depot,2026,Risk Factors,Labor,36,19526,18.436955853733483,-1.3830570024910713
Home Depot,2022,Risk Factors,Regulation,42,17228,24.378918040399352,
Home Depot,2023,Risk Factors,Regulation,49,17834,27.475608388471457,3.096690348072105
Home Depot,2024,Risk Factors,Regulation,58,19077,30.403103213293495,2.9274948248220376
Home Depot,2025,Risk Factors,Regulation,60,18668,32.14056138847225,1.7374581751787552
Home Depot,2026,Risk Factors,Regulation,63,19526,32.2646727440336,0.12411135556134667
Home Depot,2022,Risk Factors,Supply Chain,137,17228,79.52170884606454,
Home Depot,2023,Risk Factors,Supply Chain,138,17834,77.38028484916451,-2.1414239969000306
Home Depot,2024,Risk Factors,Supply Chain,129,19077,67.62069507784243,-9.759589771322084
Home Depot,2025,Risk Factors,Supply Chain,129,18668,69.10220698521533,1.481511907372905
Home Depot,2026,Risk Factors,Supply Chain,124,19526,63.50507016285978,-5.5971368223555515
Lowes,2022,MD&A,Capital Investment,12,35536,3.3768572714993246,
Lowes,2023,MD&A,Capital Investment,12,37129,3.231975006059953,-0.14488226543937177
Lowes,2024,MD&A,Capital Investment,11,36773,2.991325157044571,-0.2406498490153819
Lowes,2025,MD&A,Capital Investment,11,35707,3.0806284482034334,0.08930329115886249
Lowes,2026,MD&A,Capital Investment,11,37103,2.964719833975689,-0.11590861422774434
Lowes,2022,MD&A,Competition,35,35536,9.84916704187303,
Lowes,2023,MD&A,Competition,36,37129,9.69592501817986,-0.15324202369317064
Lowes,2024,MD&A,Competition,35,36773,9.517852772414543,-0.17807224576531766
Lowes,2025,MD&A,Competition,37,35707,10.36211387122973,0.8442610988151866
Lowes,2026,MD&A,Competition,38,37103,10.24175942646147,-0.12035444476825852
Lowes,2022,MD&A,Consumer Demand,5,35536,1.4070238631247185,
Lowes,2023,MD&A,Consumer Demand,6,37129,1.6159875030299764,0.2089636399052579
Lowes,2024,MD&A,Consumer Demand,9,36773,2.4474478557637394,0.831460352733763
Lowes,2025,MD&A,Consumer Demand,11,35707,3.0806284482034334,0.633180592439694
Lowes,2026,MD&A,Consumer Demand,10,37103,2.6951998490688083,-0.3854285991346251
Lowes,2022,MD&A,Cybersecurity,6,35536,1.6884286357496623,
Lowes,2023,MD&A,Cybersecurity,6,37129,1.6159875030299764,-0.07244113271968589
Lowes,2024,MD&A,Cybersecurity,50,36773,13.596932532020775,11.9809450289908
Lowes,2025,MD&A,Cybersecurity,51,35707,14.282913714397736,0.6859811823769615
Lowes,2026,MD&A,Cybersecurity,53,37103,14.284559200064685,0.001645485666948332
Lowes,2022,MD&A,Debt & Interest Rates,110,35536,30.95452498874381,
Lowes,2023,MD&A,Debt & Interest Rates,103,37129,27.741118802014597,-3.2134061867292125
Lowes,2024,MD&A,Debt & Interest Rates,94,36773,25.562233160199057,-2.1788856418155405
Lowes,2025,MD&A,Debt & Interest Rates,93,35707,26.045313243901756,0.48308008370269917
Lowes,2026,MD&A,Debt & Interest Rates,92,37103,24.795838611433037,-1.2494746324687185
Lowes,2022,MD&A,Economic Uncertainty,7,35536,1.969833408374606,
Lowes,2023,MD&A,Economic Uncertainty,8,37129,2.1546500040399685,0.18481659566536246
Lowes,2024,MD&A,Economic Uncertainty,14,36773,3.8071411089658174,1.6524911049258488
Lowes,2025,MD&A,Economic Uncertainty,15,35707,4.200856974822864,0.39371586585704677
Lowes,2026,MD&A,Economic Uncertainty,13,37103,3.503759803789451,-0.6970971710334131
Lowes,2022,MD&A,Inflation & Costs,5,35536,1.4070238631247185,
Lowes,2023,MD&A,Inflation & Costs,10,37129,2.6933125050499607,1.2862886419252422
Lowes,2024,MD&A,Inflation & Costs,7,36773,1.9035705544829087,-0.789741950567052
Lowes,2025,MD&A,Inflation & Costs,9,35707,2.5205141848937185,0.6169436304108098
Lowes,2026,MD&A,Inflation & Costs,8,37103,2.1561598792550467,-0.36435430563867177
Lowes,2022,MD&A,Inventory,83,35536,23.35659612787033,
Lowes,2023,MD&A,Inventory,83,37129,22.354493791914678,-1.0021023359556516
Lowes,2024,MD&A,Inventory,78,36773,21.21121474995241,-1.1432790419622663
Lowes,2025,MD&A,Inventory,79,35707,22.12451340073375,0.9132986507813392
Lowes,2026,MD&A,Inventory,79,37103,21.292078807643588,-0.8324345930901629
Lowes,2022,MD&A,Labor,51,35536,14.35164340387213,
Lowes,2023,MD&A,Labor,58,37129,15.621212529289773,1.269569125417643
Lowes,2024,MD&A,Labor,56,36773,15.22856443586327,-0.3926480934265033
Lowes,2025,MD&A,Labor,56,35707,15.683199372672025,0.45463493680875544
Lowes,2026,MD&A,Labor,58,37103,15.632159124599088,-0.051040248072936834
Lowes,2022,MD&A,Regulation,40,35536,11.256190904997748,
Lowes,2023,MD&A,Regulation,50,37129,13.466562525249804,2.2103716202520562
Lowes,2024,MD&A,Regulation,54,36773,14.684687134582438,1.2181246093326337
Lowes,2025,MD&A,Regulation,58,35707,16.24331363598174,1.558626501399301
Lowes,2026,MD&A,Regulation,57,37103,15.362639139692208,-0.8806744962895312
Lowes,2022,MD&A,Supply Chain,78,35536,21.94957226474561,
Lowes,2023,MD&A,Supply Chain,81,37129,21.815831290904683,-0.13374097384092565
Lowes,2024,MD&A,Supply Chain,84,36773,22.842846653794904,1.0270153628902214
Lowes,2025,MD&A,Supply Chain,84,35707,23.52479905900804,0.6819524052131349
Lowes,2026,MD&A,Supply Chain,81,37103,21.83111877745735,-1.6936802815506908
Lowes,2022,Risk Factors,Capital Investment,2,12390,1.6142050040355127,
Lowes,2023,Risk Factors,Capital Investment,2,12860,1.5552099533437014,-0.058995050691811324
Lowes,2024,Risk Factors,Capital Investment,2,13760,1.4534883720930232,-0.1017215812506782
Lowes,2025,Risk Factors,Capital Investment,2,14519,1.3775053378331843,-0.07598303425983888
Lowes,2026,Risk Factors,Capital Investment,2,14374,1.3914011409489355,0.013895803115751226
Lowes,2022,Risk Factors,Competition,33,12390,26.634382566585955,
Lowes,2023,Risk Factors,Competition,34,12860,26.43856920684292,-0.1958133597430347
Lowes,2024,Risk Factors,Competition,34,13760,24.709302325581394,-1.7292668812615268
Lowes,2025,Risk Factors,Competition,36,14519,24.795096080997315,0.08579375541592071
Lowes,2026,Risk Factors,Competition,37,14374,25.740921107555305,0.9458250265579906
Lowes,2022,Risk Factors,Consumer Demand,4,12390,3.2284100080710254,
Lowes,2023,Risk Factors,Consumer Demand,6,12860,4.665629860031104,1.4372198519600787
Lowes,2024,Risk Factors,Consumer Demand,8,13760,5.813953488372093,1.1483236283409886
Lowes,2025,Risk Factors,Consumer Demand,10,14519,6.887526689165921,1.0735732007938283
Lowes,2026,Risk Factors,Consumer Demand,10,14374,6.957005704744677,0.06947901557875635
Lowes,2022,Risk Factors,Cybersecurity,6,12390,4.842615012106537,
Lowes,2023,Risk Factors,Cybersecurity,6,12860,4.665629860031104,-0.1769851520754333
Lowes,2024,Risk Factors,Cybersecurity,50,13760,36.33720930232558,31.67157944229448
Lowes,2025,Risk Factors,Cybersecurity,52,14519,35.81513878366279,-0.5220705186627939
Lowes,2026,Risk Factors,Cybersecurity,54,14374,37.56783080562126,1.7526920219584738
Lowes,2022,Risk Factors,Debt & Interest Rates,6,12390,4.842615012106537,
Lowes,2023,Risk Factors,Debt & Interest Rates,8,12860,6.2208398133748055,1.378224801268268
Lowes,2024,Risk Factors,Debt & Interest Rates,8,13760,5.813953488372093,-0.4068863250027128
Lowes,2025,Risk Factors,Debt & Interest Rates,9,14519,6.198774020249329,0.38482053187723597
Lowes,2026,Risk Factors,Debt & Interest Rates,9,14374,6.26130513427021,0.06253111402088152
Lowes,2022,Risk Factors,Economic Uncertainty,5,12390,4.035512510088781,
Lowes,2023,Risk Factors,Economic Uncertainty,6,12860,4.665629860031104,0.6301173499423234
Lowes,2024,Risk Factors,Economic Uncertainty,10,13760,7.267441860465116,2.6018120004340117
Lowes,2025,Risk Factors,Economic Uncertainty,11,14519,7.5762793580825125,0.30883749761739665
Lowes,2026,Risk Factors,Economic Uncertainty,11,14374,7.652706275219146,0.07642691713663385
Lowes,2022,Risk Factors,Inflation & Costs,3,12390,2.4213075060532687,
Lowes,2023,Risk Factors,Inflation & Costs,5,12860,3.8880248833592534,1.4667173773059847
Lowes,2024,Risk Factors,Inflation & Costs,5,13760,3.633720930232558,-0.2543039531266955
Lowes,2025,Risk Factors,Inflation & Costs,6,14519,4.132516013499552,0.4987950832669945
Lowes,2026,Risk Factors,Inflation & Costs,6,14374,4.174203422846807,0.041687409347254345
Lowes,2022,Risk Factors,Inventory,13,12390,10.49233252623083,
Lowes,2023,Risk Factors,Inventory,14,12860,10.88646967340591,0.39413714717507986
Lowes,2024,Risk Factors,Inventory,15,13760,10.901162790697674,0.014693117291763258
Lowes,2025,Risk Factors,Inventory,16,14519,11.020042702665474,0.11887991196780057
Lowes,2026,Risk Factors,Inventory,15,14374,10.435508557117016,-0.5845341455484583
Lowes,2022,Risk Factors,Labor,32,12390,25.827280064568203,
Lowes,2023,Risk Factors,Labor,36,12860,27.993779160186623,2.16649909561842
Lowes,2024,Risk Factors,Labor,36,13760,26.162790697674417,-1.830988462512206
Lowes,2025,Risk Factors,Labor,33,14519,22.728838074247538,-3.4339526234268796
Lowes,2026,Risk Factors,Labor,34,14374,23.653819396131905,0.924981321884367
Lowes,2022,Risk Factors,Regulation,29,12390,23.40597255851493,
Lowes,2023,Risk Factors,Regulation,38,12860,29.548989113530325,6.143016555015397
Lowes,2024,Risk Factors,Regulation,41,13760,29.796511627906977,0.24752251437665151
Lowes,2025,Risk Factors,Regulation,46,14519,31.682622770163235,1.886111142256258
Lowes,2026,Risk Factors,Regulation,46,14374,32.00222624182552,0.3196034716622833
Lowes,2022,Risk Factors,Supply Chain,56,12390,45.19774011299435,
Lowes,2023,Risk Factors,Supply Chain,61,12860,47.43390357698289,2.2361634639885395
Lowes,2024,Risk Factors,Supply Chain,63,13760,45.78488372093023,-1.6490198560526608
Lowes,2025,Risk Factors,Supply Chain,64,14519,44.0801708106619,-1.7047129102683343
Lowes,2026,Risk Factors,Supply Chain,58,14374,40.35063308751913,-3.7295377231427693
Target,2022,MD&A,Capital Investment,6,24547,2.44429054466941,
Target,2023,MD&A,Capital Investment,6,23889,2.511616225040814,0.06732568037140396
