company,fiscal_year,section,topic,mentions,word_count,mentions_per_10k_words,topic_rate_change,latest_year
Home Depot,2026,Risk Factors,Labor,36,19526,18.436955853733483,-1.3830570024910713,2026
Home Depot,2026,Risk Factors,Regulation,63,19526,32.2646727440336,0.12411135556134667,2026
Home Depot,2026,Risk Factors,Supply Chain,124,19526,63.50507016285978,-5.5971368223555515,2026
Lowes,2026,MD&A,Capital Investment,11,37103,2.964719833975689,-0.11590861422774434,2026
Lowes,2026,MD&A,Competition,38,37103,10.24175942646147,-0.12035444476825852,2026
Lowes,2026,MD&A,Consumer Demand,10,37103,2.6951998490688083,-0.3854285991346251,2026
Lowes,2026,MD&A,Cybersecurity,53,37103,14.284559200064685,0.001645485666948332,2026
Lowes,2026,MD&A,Debt & Interest Rates,92,37103,24.795838611433037,-1.2494746324687185,2026
Lowes,2026,MD&A,Economic Uncertainty,13,37103,3.503759803789451,-0.6970971710334131,2026
Lowes,2026,MD&A,Inflation & Costs,8,37103,2.1561598792550467,-0.36435430563867177,2026
Lowes,2026,MD&A,Inventory,79,37103,21.292078807643588,-0.8324345930901629,2026
Lowes,2026,MD&A,Labor,58,37103,15.632159124599088,-0.051040248072936834,2026
Lowes,2026,MD&A,Regulation,57,37103,15.362639139692208,-0.8806744962895312,2026
Lowes,2026,MD&A,Supply Chain,81,37103,21.83111877745735,-1.6936802815506908,2026
Lowes,2026,Risk Factors,Capital Investment,2,14374,1.3914011409489355,0.013895803115751226,2026
Lowes,2026,Risk Factors,Competition,37,14374,25.740921107555305,0.9458250265579906,2026
Lowes,2026,Risk Factors,Consumer Demand,10,14374,6.957005704744677,0.06947901557875635,2026
Lowes,2026,Risk Factors,Cybersecurity,54,14374,37.56783080562126,1.7526920219584738,2026
Lowes,2026,Risk Factors,Debt & Interest Rates,9,14374,6.26130513427021,0.06253111402088152,2026
Lowes,2026,Risk Factors,Economic Uncertainty,11,14374,7.652706275219146,0.07642691713663385,2026
Lowes,2026,Risk Factors,Inflation & Costs,6,14374,4.174203422846807,0.041687409347254345,2026
Lowes,2026,Risk Factors,Inventory,15,14374,10.435508557117016,-0.5845341455484583,2026
Lowes,2026,Risk Factors,Labor,34,14374,23.653819396131905,0.924981321884367,2026
Lowes,2026,Risk Factors,Regulation,46,14374,32.00222624182552,0.3196034716622833,2026
Lowes,2026,Risk Factors,Supply Chain,58,14374,40.35063308751913,-3.7295377231427693,2026
Target,2026,MD&A,Capital Investment,7,29270,2.3915271609156132,-0.11025982979203475,2026
Target,2026,MD&A,Competition,28,29270,9.566108643662453,0.6311551054208522,2026
Target,2026,MD&A,Consumer Demand,12,29270,4.099760847283909,-0.18901685107205957,2026
Target,2026,MD&A,Cybersecurity,64,29270,21.865391185514177,-1.365488013913982,2026
Target,2026,MD&A,Debt & Interest Rates,86,29270,29.38161940553468,-0.6398244829571027,2026
Target,2026,MD&A,Economic Uncertainty,15,29270,5.124701059104886,-0.236271063840074,2026
Target,2026,MD&A,Inflation & Costs,7,29270,2.3915271609156132,-0.11025982979203475,2026
Target,2026,MD&A,Inventory,76,29270,25.965152032798084,-1.554504864986047,2026
Target,2026,MD&A,Labor,86,29270,29.38161940553468,1.1471662246912153,2026
Target,2026,MD&A,Regulation,47,29270,16.057396651861975,-0.38291785850256943,2026
Target,2026,MD&A,Supply Chain,66,29270,22.548684660061497,-1.3969908224259946,2026
Target,2026,Risk Factors,Capital Investment,0,12072,0.0,0.0,2026
Target,2026,Risk Factors,Competition,25,12072,20.709078860172298,2.53221800404215,2026
Target,2026,Risk Factors,Consumer Demand,11,12072,9.111994698475812,-1.7941218152022778,2026
Target,2026,Risk Factors,Cybersecurity,65,12072,53.84360503644798,-6.140035788781503,2026
Target,2026,Risk Factors,Debt & Interest Rates,6,12072,4.970178926441351,-0.4828793303976937,2026
Target,2026,Risk Factors,Economic Uncertainty,14,12072,11.597084161696488,-1.1267184375946133,2026
Target,2026,Risk Factors,Inflation & Costs,5,12072,4.14181577203446,-0.4023994419980772,2026
Target,2026,Risk Factors,Inventory,25,12072,20.709078860172298,-3.8296832956034024,2026
Target,2026,Risk Factors,Labor,40,12072,33.13452617627568,-0.49266640756509616,2026
Target,2026,Risk Factors,Regulation,35,12072,28.992710404241222,-2.8167960939865324,2026
Target,2026,Risk Factors,Supply Chain,44,12072,36.447978793903246,-3.541115089583073,2026
Walmart,2026,MD&A,Capital Investment,23,48068,4.784888075226762,0.17890029110740713,2026
Walmart,2026,MD&A,Competition,60,48068,12.482316717982856,0.4666964115845378,2026
Walmart,2026,MD&A,Consumer Demand,8,48068,1.6643088957310477,-0.13803415022869991,2026
Walmart,2026,MD&A,Cybersecurity,72,48068,14.978780061579428,0.5600356939014475,2026
Walmart,2026,MD&A,Debt & Interest Rates,113,48068,23.50836315220105,1.2794655853641608,2026
Walmart,2026,MD&A,Economic Uncertainty,13,48068,2.704501955562953,-0.2994031210366268,2026
Walmart,2026,MD&A,Inflation & Costs,8,48068,1.6643088957310477,-0.13803415022869991,2026
Walmart,2026,MD&A,Inventory,43,48068,8.945660314554381,0.13420542319561513,2026
Walmart,2026,MD&A,Labor,72,48068,14.978780061579428,2.9631597551811097,2026
Walmart,2026,MD&A,Regulation,98,48068,20.387783972705336,0.1614897902681669,2026
Walmart,2026,MD&A,Supply Chain,132,48068,27.461096779562286,-2.377693647993535,2026
Walmart,2026,Risk Factors,Capital Investment,5,21703,2.303828963737732,0.11200010173527719,2026
Walmart,2026,Risk Factors,Competition,52,21703,23.959821222872417,3.3566299200493397,2026
Walmart,2026,Risk Factors,Consumer Demand,8,21703,3.6861263419803714,-0.2591656096240471,2026
Walmart,2026,Risk Factors,Cybersecurity,72,21703,33.175137077823344,2.0511672373884835,2026
Walmart,2026,Risk Factors,Debt & Interest Rates,4,21703,1.8430631709901857,0.08960008138822162,2026
Walmart,2026,Risk Factors,Economic Uncertainty,11,21703,5.06842372022301,-0.6303313209833714,2026
Walmart,2026,Risk Factors,Inflation & Costs,6,21703,2.764594756485278,0.13440012208233254,2026
Walmart,2026,Risk Factors,Inventory,14,21703,6.4507210984656504,-0.12476548754171368,2026
Walmart,2026,Risk Factors,Labor,38,21703,17.509100124406764,4.796492724792525,2026
Walmart,2026,Risk Factors,Regulation,85,21703,39.16509238354145,0.5889044122982412,2026
Walmart,2026,Risk Factors,Supply Chain,94,21703,43.31198451826937,-3.593153128583168,2026
